# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  4.213918e-04  6.059240e-04  9.462833e-04  1.523388e-03  2.361780e-03
1.200  3.708029e-04  5.384091e-04  8.475494e-04  1.381332e-03  2.159161e-03
1.300  3.374161e-04  4.913622e-04  7.852592e-04  1.289202e-03  2.033799e-03
1.400  3.186995e-04  4.688277e-04  7.554359e-04  1.255295e-03  1.998038e-03
1.600  2.801306e-04  4.208693e-04  6.895523e-04  1.167806e-03  1.884532e-03
1.800  2.599170e-04  3.917468e-04  6.523407e-04  1.117787e-03  1.824702e-03
2.000  2.400148e-04  3.730333e-04  6.269775e-04  1.089322e-03  1.798009e-03
2.200  2.348316e-04  3.663129e-04  6.262177e-04  1.100482e-03  1.830454e-03
2.400  2.331434e-04  3.681233e-04  6.349438e-04  1.125941e-03  1.886757e-03
2.600  2.231120e-04  3.514239e-04  6.141577e-04  1.096425e-03  1.846478e-03
