# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  9.487476e-04  1.308175e-03  1.927614e-03  2.964894e-03  4.441532e-03
1.200  8.448625e-04  1.168073e-03  1.744232e-03  2.707165e-03  4.101925e-03
1.300  7.516216e-04  1.048304e-03  1.577173e-03  2.495028e-03  3.834239e-03
1.400  6.878830e-04  9.707056e-04  1.492356e-03  2.396543e-03  3.739160e-03
1.600  5.914760e-04  8.487746e-04  1.339981e-03  2.210600e-03  3.517645e-03
1.800  5.271146e-04  7.754197e-04  1.249457e-03  2.106084e-03  3.415770e-03
2.000  5.079939e-04  7.562647e-04  1.238538e-03  2.122236e-03  3.483654e-03
2.200  4.863034e-04  7.329564e-04  1.220526e-03  2.130294e-03  3.532327e-03
2.400  4.689425e-04  7.229281e-04  1.224993e-03  2.162504e-03  3.621263e-03
2.600  4.553424e-04  7.002504e-04  1.201729e-03  2.140596e-03  3.606978e-03
