# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.411093e-04  1.055562e-03  1.635551e-03  2.613458e-03  4.042374e-03
1.200  6.591251e-04  9.477634e-04  1.480141e-03  2.400526e-03  3.746073e-03
1.300  5.886325e-04  8.589610e-04  1.357567e-03  2.234201e-03  3.536299e-03
1.400  5.467884e-04  8.043612e-04  1.296091e-03  2.169192e-03  3.477450e-03
1.600  4.781362e-04  7.222816e-04  1.188377e-03  2.031550e-03  3.313942e-03
1.800  4.351365e-04  6.669552e-04  1.125201e-03  1.959430e-03  3.250228e-03
2.000  4.220535e-04  6.583595e-04  1.125476e-03  1.991312e-03  3.338555e-03
2.200  4.130120e-04  6.465670e-04  1.124799e-03  2.012531e-03  3.403850e-03
2.400  4.035291e-04  6.436094e-04  1.135203e-03  2.062821e-03  3.451975e-03
2.600  3.944418e-04  6.331612e-04  1.121968e-03  2.052188e-03  3.411730e-03
