# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.205280e-04  1.043067e-03  1.618028e-03  2.598356e-03  4.031361e-03
1.200  6.506324e-04  9.400972e-04  1.473999e-03  2.393503e-03  3.743823e-03
1.300  5.818998e-04  8.534254e-04  1.354239e-03  2.234123e-03  3.536678e-03
1.400  5.467884e-04  8.043612e-04  1.296091e-03  2.174358e-03  3.482253e-03
1.600  4.781362e-04  7.222816e-04  1.188377e-03  2.036287e-03  3.321001e-03
1.800  4.351365e-04  6.669552e-04  1.125201e-03  1.963915e-03  3.256448e-03
2.000  4.220535e-04  6.583595e-04  1.125476e-03  1.995798e-03  3.344391e-03
2.200  4.130120e-04  6.465670e-04  1.124799e-03  2.017014e-03  3.409385e-03
2.400  4.046690e-04  6.454275e-04  1.138409e-03  2.064110e-03  3.461726e-03
2.600  3.944418e-04  6.331612e-04  1.121968e-03  2.052188e-03  3.411730e-03
