# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.622838e-04  1.092908e-03  1.682281e-03  2.688128e-03  4.138905e-03
1.200  6.755349e-04  9.779331e-04  1.516991e-03  2.454243e-03  3.816082e-03
1.300  6.084927e-04  8.835369e-04  1.390841e-03  2.283417e-03  3.598437e-03
1.400  5.592864e-04  8.287344e-04  1.325716e-03  2.208204e-03  3.525682e-03
1.600  4.907253e-04  7.372675e-04  1.207939e-03  2.055361e-03  3.347710e-03
1.800  4.449248e-04  6.780932e-04  1.139008e-03  1.983472e-03  3.278545e-03
2.000  4.259079e-04  6.643720e-04  1.135754e-03  2.004970e-03  3.357461e-03
2.200  4.233264e-04  6.643370e-04  1.140753e-03  2.041077e-03  3.435400e-03
2.400  4.171830e-04  6.612010e-04  1.160857e-03  2.090929e-03  3.529985e-03
2.600  4.063851e-04  6.481648e-04  1.143237e-03  2.077421e-03  3.476407e-03
