# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  3.689118e-04  5.775284e-04  1.004696e-03  1.797639e-03  3.030573e-03
1.200  3.206380e-04  5.146908e-04  9.120369e-04  1.664568e-03  2.772830e-03
1.300  2.895072e-04  4.772871e-04  8.617887e-04  1.596906e-03  2.620324e-03
1.400  2.728156e-04  4.627676e-04  8.517170e-04  1.605403e-03  2.589827e-03
1.600  2.533096e-04  4.384712e-04  8.313751e-04  1.586944e-03  2.528033e-03
1.800  2.522724e-04  4.401201e-04  8.387238e-04  1.611000e-03  2.550422e-03
2.000  2.608927e-04  4.588150e-04  8.787964e-04  1.694977e-03  2.672284e-03
2.200  2.711657e-04  4.768814e-04  9.134003e-04  1.761719e-03  2.777509e-03
2.400  2.846525e-04  5.005998e-04  9.588293e-04  1.849340e-03  2.915652e-03
2.600  2.835245e-04  5.026949e-04  9.677637e-04  1.866572e-03  2.942820e-03
