# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.909903e-04  4.125278e-04  6.366968e-04  1.019920e-03  1.581797e-03
1.200  2.243566e-04  3.251023e-04  5.174351e-04  8.536255e-04  1.354125e-03
1.300  1.787811e-04  2.671607e-04  4.358854e-04  7.416780e-04  1.206882e-03
1.400  1.526089e-04  2.335155e-04  3.906789e-04  6.772153e-04  1.120159e-03
1.600  1.185884e-04  1.876007e-04  3.264370e-04  5.866754e-04  9.925977e-04
1.800  1.002564e-04  1.630591e-04  2.916550e-04  5.357903e-04  8.868588e-04
2.000  9.105949e-05  1.507834e-04  2.775146e-04  5.186631e-04  8.438766e-04
2.200  8.644926e-05  1.462750e-04  2.732224e-04  5.160863e-04  8.308269e-04
2.400  8.618240e-05  1.469141e-04  2.757837e-04  5.242222e-04  8.386155e-04
2.600  8.546239e-05  1.486946e-04  2.804919e-04  5.365261e-04  8.529326e-04
