# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.252249e-04  3.330355e-04  5.388558e-04  9.018513e-04  1.440010e-03
1.200  1.792478e-04  2.722765e-04  4.498768e-04  7.690714e-04  1.249860e-03
1.300  1.509404e-04  2.345930e-04  3.942933e-04  6.850523e-04  1.128724e-03
1.400  1.333122e-04  2.079532e-04  3.554993e-04  6.289871e-04  1.047472e-03
1.600  1.065964e-04  1.726454e-04  3.032074e-04  5.485527e-04  9.219638e-04
1.800  9.073096e-05  1.495808e-04  2.700829e-04  4.961608e-04  8.212627e-04
2.000  8.431435e-05  1.402887e-04  2.569580e-04  4.781950e-04  7.813671e-04
2.200  8.017026e-05  1.346610e-04  2.502876e-04  4.697722e-04  7.610859e-04
2.400  7.766438e-05  1.337283e-04  2.485260e-04  4.704283e-04  7.557291e-04
2.600  7.892990e-05  1.345508e-04  2.525757e-04  4.780938e-04  7.680436e-04
