# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.207538e-03  2.976933e-03  4.217386e-03  6.016129e-03  8.263408e-03
1.200  1.842067e-03  2.484084e-03  3.519173e-03  5.062206e-03  7.000641e-03
1.300  1.588715e-03  2.160036e-03  3.081144e-03  4.438258e-03  6.157385e-03
1.400  1.447340e-03  1.967821e-03  2.806963e-03  4.060094e-03  5.655355e-03
1.600  1.157277e-03  1.586666e-03  2.278946e-03  3.323603e-03  4.661893e-03
1.800  9.992203e-04  1.381734e-03  1.998441e-03  2.946379e-03  4.175379e-03
2.000  8.321826e-04  1.154158e-03  1.690784e-03  2.529856e-03  3.636713e-03
2.200  7.339890e-04  1.025412e-03  1.527652e-03  2.316215e-03  3.376161e-03
2.400  6.598967e-04  9.345099e-04  1.407780e-03  2.165328e-03  3.187969e-03
2.600  5.944564e-04  8.457500e-04  1.278831e-03  1.982282e-03  2.946680e-03
