# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.292090e-02  2.808319e-02  3.472042e-02  4.203817e-02  4.905008e-02
1.200  1.879310e-02  2.280819e-02  2.780945e-02  3.332422e-02  3.875348e-02
1.300  1.458261e-02  1.764292e-02  2.145488e-02  2.575226e-02  3.012921e-02
1.400  1.273010e-02  1.521589e-02  1.841190e-02  2.206308e-02  2.588956e-02
1.600  9.105392e-03  1.078736e-02  1.294989e-02  1.556955e-02  1.849919e-02
1.800  7.312407e-03  8.613172e-03  1.028558e-02  1.244827e-02  1.496734e-02
2.000  5.768627e-03  6.786576e-03  8.181543e-03  1.006488e-02  1.233617e-02
2.200  4.658475e-03  5.527300e-03  6.756769e-03  8.467000e-03  1.059032e-02
2.400  3.783408e-03  4.534040e-03  5.631118e-03  7.213552e-03  9.211975e-03
2.600  3.128823e-03  3.793200e-03  4.796279e-03  6.258820e-03  8.153302e-03
