# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  1.184753e-02  1.520400e-02  1.995373e-02  2.595873e-02  3.233267e-02
1.200  8.926139e-03  1.149619e-02  1.513306e-02  1.977778e-02  2.482583e-02
1.300  6.538073e-03  8.445468e-03  1.123320e-02  1.487125e-02  1.893024e-02
1.400  5.621101e-03  7.260981e-03  9.657730e-03  1.285291e-02  1.644134e-02
1.600  3.848931e-03  5.004351e-03  6.748810e-03  9.109376e-03  1.188455e-02
1.800  3.013193e-03  3.946969e-03  5.356787e-03  7.342559e-03  9.745224e-03
2.000  2.537701e-03  3.321028e-03  4.543018e-03  6.290503e-03  8.450757e-03
2.200  2.128941e-03  2.817995e-03  3.892920e-03  5.475689e-03  7.488701e-03
2.400  1.853122e-03  2.459709e-03  3.437676e-03  4.903867e-03  6.800704e-03
2.600  1.627119e-03  2.176721e-03  3.062812e-03  4.424060e-03  6.219426e-03
