# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  9.900197e-03  1.278845e-02  1.700974e-02  2.248471e-02  2.845252e-02
1.200  7.363662e-03  9.581839e-03  1.282379e-02  1.706643e-02  2.178842e-02
1.300  5.322232e-03  6.945570e-03  9.396492e-03  1.269252e-02  1.649213e-02
1.400  4.632600e-03  6.068223e-03  8.235733e-03  1.115742e-02  1.456118e-02
1.600  3.266051e-03  4.310771e-03  5.888092e-03  8.106024e-03  1.076625e-02
1.800  2.616158e-03  3.462906e-03  4.783832e-03  6.671619e-03  8.994222e-03
2.000  2.254646e-03  2.995972e-03  4.152441e-03  5.840726e-03  7.954799e-03
2.200  1.929633e-03  2.571267e-03  3.605737e-03  5.143608e-03  7.116124e-03
2.400  1.704608e-03  2.289482e-03  3.232441e-03  4.662637e-03  6.529528e-03
2.600  1.508350e-03  2.031453e-03  2.903291e-03  4.234145e-03  6.010862e-03
