# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  1.537674e-02  1.967336e-02  2.556133e-02  3.279542e-02  4.023304e-02
1.200  1.266488e-02  1.608987e-02  2.078339e-02  2.645816e-02  3.236042e-02
1.300  1.005448e-02  1.263671e-02  1.629080e-02  2.072267e-02  2.540797e-02
1.400  8.035765e-03  1.020388e-02  1.327197e-02  1.709419e-02  2.122899e-02
1.600  5.238275e-03  6.694308e-03  8.822357e-03  1.160049e-02  1.475296e-02
1.800  3.863134e-03  5.008371e-03  6.682178e-03  8.972826e-03  1.167653e-02
2.000  2.983282e-03  3.889662e-03  5.303613e-03  7.290813e-03  9.715728e-03
2.200  2.313540e-03  3.086292e-03  4.291785e-03  6.045276e-03  8.254992e-03
2.400  1.941359e-03  2.607465e-03  3.681392e-03  5.295552e-03  7.369427e-03
2.600  1.729354e-03  2.341597e-03  3.328682e-03  4.827996e-03  6.792581e-03
