# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  6.465539e-03  8.558180e-03  1.182270e-02  1.638212e-02  2.173302e-02
1.200  4.661522e-03  6.218529e-03  8.647461e-03  1.205991e-02  1.613322e-02
1.300  3.351493e-03  4.506649e-03  6.308693e-03  8.886232e-03  1.203383e-02
1.400  2.793539e-03  3.737129e-03  5.258427e-03  7.459260e-03  1.018347e-02
1.600  1.775230e-03  2.413624e-03  3.442871e-03  4.993619e-03  6.977472e-03
1.800  1.318353e-03  1.805070e-03  2.616266e-03  3.862477e-03  5.517347e-03
2.000  1.006252e-03  1.393470e-03  2.060803e-03  3.128682e-03  4.581196e-03
2.200  7.927437e-04  1.115622e-03  1.691187e-03  2.638317e-03  3.978527e-03
2.400  6.424848e-04  9.194254e-04  1.430227e-03  2.308173e-03  3.579773e-03
2.600  5.297858e-04  7.809708e-04  1.244268e-03  2.062619e-03  3.286154e-03
