# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  3.309527e-03  4.232051e-03  5.537510e-03  7.215039e-03  9.047681e-03
1.200  2.652718e-03  3.380224e-03  4.409714e-03  5.728012e-03  7.190756e-03
1.300  2.169549e-03  2.745401e-03  3.560286e-03  4.624645e-03  5.823794e-03
1.400  1.815540e-03  2.313451e-03  3.018041e-03  3.944354e-03  5.007321e-03
1.600  1.306206e-03  1.664432e-03  2.171356e-03  2.859438e-03  3.669155e-03
1.800  9.652442e-04  1.233544e-03  1.625674e-03  2.169995e-03  2.832209e-03
2.000  7.708740e-04  9.879232e-04  1.315625e-03  1.787597e-03  2.381916e-03
2.200  6.164642e-04  7.978936e-04  1.080923e-03  1.493473e-03  2.026781e-03
2.400  5.132049e-04  6.684506e-04  9.187445e-04  1.294115e-03  1.789118e-03
2.600  4.623631e-04  6.060259e-04  8.454639e-04  1.207745e-03  1.694978e-03
