# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  1.207269e-03  1.664348e-03  2.377391e-03  3.405578e-03  4.675173e-03
1.200  1.060396e-03  1.461869e-03  2.088165e-03  2.987105e-03  4.100343e-03
1.300  9.141168e-04  1.260207e-03  1.800107e-03  2.582215e-03  3.559276e-03
1.400  8.311763e-04  1.145864e-03  1.636778e-03  2.351185e-03  3.246185e-03
1.600  6.455383e-04  8.977017e-04  1.291077e-03  1.875180e-03  2.608179e-03
1.800  5.079424e-04  7.085619e-04  1.032010e-03  1.521533e-03  2.141989e-03
2.000  4.206884e-04  5.851259e-04  8.685181e-04  1.271835e-03  1.812028e-03
2.200  3.573579e-04  5.014819e-04  7.498657e-04  1.135446e-03  1.642998e-03
2.400  3.107201e-04  4.380135e-04  6.573914e-04  1.009834e-03  1.481248e-03
2.600  2.841476e-04  4.023945e-04  6.061816e-04  9.396263e-04  1.398528e-03
