# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  4.187906e-04  6.021837e-04  9.404421e-04  1.517733e-03  2.346007e-03
1.200  3.694594e-04  5.364583e-04  8.444786e-04  1.376327e-03  2.149011e-03
1.300  3.352715e-04  4.917156e-04  7.802682e-04  1.284118e-03  2.021875e-03
1.400  3.171373e-04  4.665295e-04  7.517328e-04  1.249142e-03  1.986219e-03
1.600  2.791373e-04  4.193769e-04  6.871071e-04  1.160926e-03  1.868156e-03
1.800  2.578542e-04  3.916792e-04  6.471634e-04  1.108916e-03  1.803509e-03
2.000  2.404766e-04  3.685903e-04  6.218384e-04  1.075436e-03  1.765093e-03
2.200  2.342551e-04  3.632502e-04  6.182404e-04  1.079071e-03  1.779865e-03
2.400  2.320536e-04  3.641677e-04  6.253235e-04  1.098911e-03  1.818435e-03
2.600  2.206298e-04  3.483649e-04  6.008643e-04  1.063113e-03  1.764466e-03
