# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  4.631933e-04  6.640934e-04  1.022220e-03  1.625262e-03  2.491403e-03
1.200  4.075089e-04  5.859616e-04  9.151077e-04  1.469552e-03  2.280016e-03
1.300  3.653868e-04  5.305449e-04  8.351698e-04  1.364484e-03  2.140264e-03
1.400  3.421478e-04  5.007639e-04  8.035765e-04  1.328883e-03  2.112639e-03
1.600  3.008768e-04  4.496138e-04  7.335663e-04  1.239423e-03  2.002217e-03
1.800  2.764197e-04  4.166197e-04  6.937592e-04  1.194288e-03  1.957661e-03
2.000  2.603507e-04  4.006651e-04  6.732300e-04  1.177732e-03  1.952097e-03
2.200  2.550241e-04  3.978111e-04  6.800644e-04  1.203242e-03  2.010553e-03
2.400  2.555158e-04  4.034482e-04  6.958728e-04  1.239533e-03  2.085233e-03
2.600  2.499170e-04  3.912431e-04  6.806250e-04  1.220512e-03  2.059730e-03
