# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.127244e-04  1.024834e-03  1.600504e-03  2.582974e-03  4.014888e-03
1.200  6.395006e-04  9.285606e-04  1.461716e-03  2.382297e-03  3.735857e-03
1.300  5.790403e-04  8.432275e-04  1.347585e-03  2.228516e-03  3.531909e-03
1.400  5.417256e-04  8.010387e-04  1.296091e-03  2.169192e-03  3.477450e-03
1.600  4.781362e-04  7.195072e-04  1.188377e-03  2.031550e-03  3.310852e-03
1.800  4.351365e-04  6.669552e-04  1.125201e-03  1.959430e-03  3.244517e-03
2.000  4.220535e-04  6.583595e-04  1.125476e-03  1.986826e-03  3.315861e-03
2.200  4.115474e-04  6.442741e-04  1.120810e-03  2.000927e-03  3.355996e-03
2.400  4.056586e-04  6.429358e-04  1.128789e-03  2.037668e-03  3.429759e-03
2.600  3.907030e-04  6.327896e-04  1.111333e-03  2.015016e-03  3.379391e-03
