# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.153256e-04  1.032055e-03  1.606345e-03  2.592401e-03  4.025063e-03
1.200  6.421876e-04  9.324621e-04  1.467857e-03  2.392306e-03  3.743463e-03
1.300  5.804700e-04  8.513286e-04  1.350912e-03  2.231326e-03  3.536150e-03
1.400  5.417256e-04  8.069322e-04  1.296091e-03  2.174358e-03  3.482253e-03
1.600  4.781362e-04  7.222816e-04  1.188377e-03  2.031550e-03  3.310852e-03
1.800  4.351365e-04  6.669552e-04  1.125201e-03  1.959430e-03  3.238805e-03
2.000  4.220535e-04  6.583595e-04  1.125476e-03  1.986826e-03  3.310254e-03
2.200  4.100828e-04  6.475028e-04  1.116821e-03  1.998257e-03  3.344218e-03
2.400  4.056586e-04  6.429358e-04  1.128789e-03  2.028669e-03  3.416032e-03
2.600  3.907030e-04  6.299747e-04  1.111333e-03  2.010587e-03  3.379391e-03
