# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.504644e-04  1.081138e-03  1.670599e-03  2.669461e-03  4.124288e-03
1.200  6.668982e-04  9.635996e-04  1.510849e-03  2.444307e-03  3.809030e-03
1.300  6.016170e-04  8.779086e-04  1.387513e-03  2.277954e-03  3.593620e-03
1.400  5.592864e-04  8.227466e-04  1.325716e-03  2.208204e-03  3.525682e-03
1.600  4.907253e-04  7.372675e-04  1.207939e-03  2.055361e-03  3.347710e-03
1.800  4.449248e-04  6.780932e-04  1.139008e-03  1.983472e-03  3.272764e-03
2.000  4.259079e-04  6.643720e-04  1.135754e-03  2.004970e-03  3.340484e-03
2.200  4.233264e-04  6.643370e-04  1.140753e-03  2.031983e-03  3.401510e-03
2.400  4.182227e-04  6.587428e-04  1.151237e-03  2.064423e-03  3.467079e-03
2.600  4.026048e-04  6.478384e-04  1.132603e-03  2.044552e-03  3.441345e-03
