# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  3.689118e-04  5.775284e-04  1.004696e-03  1.797639e-03  3.030573e-03
1.200  3.206380e-04  5.146908e-04  9.120369e-04  1.664568e-03  2.772830e-03
1.300  2.883894e-04  4.754442e-04  8.584614e-04  1.594162e-03  2.610208e-03
1.400  2.728156e-04  4.627676e-04  8.517170e-04  1.598613e-03  2.589826e-03
1.600  2.550480e-04  4.380863e-04  8.264847e-04  1.577609e-03  2.513162e-03
1.800  2.501961e-04  4.364977e-04  8.318207e-04  1.587794e-03  2.529431e-03
2.000  2.596882e-04  4.554160e-04  8.633789e-04  1.644592e-03  2.625402e-03
2.200  2.685793e-04  4.649026e-04  8.814911e-04  1.661524e-03  2.680478e-03
2.400  2.735790e-04  4.784345e-04  8.979004e-04  1.674558e-03  2.730376e-03
2.600  2.758392e-04  4.749607e-04  8.826855e-04  1.635628e-03  2.684110e-03
