# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.246145e-04  3.321330e-04  5.373955e-04  8.951231e-04  1.429179e-03
1.200  1.803873e-04  2.724965e-04  4.483414e-04  7.646595e-04  1.240564e-03
1.300  1.518372e-04  2.327284e-04  3.926296e-04  6.805967e-04  1.116729e-03
1.400  1.326179e-04  2.068701e-04  3.536477e-04  6.243015e-04  1.036626e-03
1.600  1.069116e-04  1.720332e-04  3.007622e-04  5.429301e-04  9.143924e-04
1.800  9.119948e-05  1.493293e-04  2.683571e-04  4.908511e-04  8.160149e-04
2.000  8.347120e-05  1.395534e-04  2.543884e-04  4.703711e-04  7.735534e-04
2.200  7.889264e-05  1.338228e-04  2.462990e-04  4.593405e-04  7.489570e-04
2.400  7.832202e-05  1.328549e-04  2.445175e-04  4.550435e-04  7.435399e-04
2.600  7.781346e-05  1.329764e-04  2.459290e-04  4.606110e-04  7.478318e-04
