# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  3.689118e-04  5.775284e-04  1.004696e-03  1.793634e-03  3.020639e-03
1.200  3.195584e-04  5.129578e-04  9.089661e-04  1.658964e-03  2.763493e-03
1.300  2.883894e-04  4.754442e-04  8.584614e-04  1.587318e-03  2.610206e-03
1.400  2.716294e-04  4.607556e-04  8.480139e-04  1.584902e-03  2.578565e-03
1.600  2.552199e-04  4.350702e-04  8.167038e-04  1.545917e-03  2.483420e-03
1.800  2.481872e-04  4.340292e-04  8.145630e-04  1.541865e-03  2.476953e-03
2.000  2.569179e-04  4.457951e-04  8.325439e-04  1.559308e-03  2.531637e-03
2.200  2.605085e-04  4.485631e-04  8.336273e-04  1.551368e-03  2.534931e-03
2.400  2.615536e-04  4.503626e-04  8.369714e-04  1.554255e-03  2.545100e-03
2.600  2.590978e-04  4.427754e-04  8.188770e-04  1.530446e-03  2.490078e-03
