# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.757255e-04  3.964688e-04  6.191730e-04  1.004189e-03  1.570491e-03
1.200  2.170454e-04  3.199522e-04  5.097580e-04  8.470562e-04  1.352369e-03
1.300  1.764026e-04  2.650279e-04  4.342217e-04  7.405780e-04  1.207158e-03
1.400  1.518857e-04  2.333344e-04  3.888273e-04  6.771055e-04  1.119209e-03
1.600  1.185884e-04  1.876007e-04  3.264370e-04  5.853742e-04  9.894654e-04
1.800  9.966316e-05  1.620942e-04  2.899292e-04  5.314643e-04  8.816110e-04
2.000  9.021635e-05  1.508305e-04  2.749451e-04  5.094768e-04  8.360628e-04
2.200  8.560011e-05  1.452005e-04  2.672394e-04  4.983938e-04  8.126336e-04
2.400  8.525544e-05  1.446158e-04  2.661633e-04  4.942651e-04  8.093614e-04
2.600  8.454327e-05  1.444770e-04  2.671985e-04  4.972525e-04  8.125092e-04
