# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.246145e-04  3.321330e-04  5.373955e-04  8.929810e-04  1.422795e-03
1.200  1.797696e-04  2.715633e-04  4.468060e-04  7.602598e-04  1.230107e-03
1.300  1.511939e-04  2.317423e-04  3.909659e-04  6.745960e-04  1.105502e-03
1.400  1.319236e-04  2.057870e-04  3.517962e-04  6.182283e-04  1.022138e-03
1.600  1.060424e-04  1.706346e-04  2.983170e-04  5.337596e-04  8.925532e-04
1.800  9.076467e-05  1.476215e-04  2.640427e-04  4.787497e-04  8.028954e-04
2.000  8.254525e-05  1.370342e-04  2.486069e-04  4.547260e-04  7.559726e-04
2.200  7.852650e-05  1.312865e-04  2.393188e-04  4.396452e-04  7.277315e-04
2.400  7.681257e-05  1.284210e-04  2.340955e-04  4.319157e-04  7.118480e-04
2.600  7.536767e-05  1.284683e-04  2.352942e-04  4.341274e-04  7.154931e-04
