# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.775486e-04  1.134637e-03  1.793265e-03  2.979839e-03  4.815431e-03
1.200  6.332150e-04  9.412353e-04  1.529274e-03  2.589935e-03  4.247884e-03
1.300  5.342768e-04  8.052619e-04  1.340930e-03  2.329756e-03  3.900060e-03
1.400  4.763135e-04  7.342913e-04  1.244247e-03  2.206414e-03  3.746610e-03
1.600  3.928782e-04  6.266219e-04  1.105240e-03  2.017185e-03  3.360832e-03
1.800  3.490098e-04  5.753843e-04  1.038913e-03  1.941684e-03  3.159164e-03
2.000  3.349086e-04  5.612336e-04  1.032971e-03  1.959401e-03  3.141105e-03
2.200  3.278170e-04  5.616427e-04  1.049014e-03  2.002377e-03  3.189890e-03
2.400  3.255766e-04  5.592306e-04  1.055033e-03  2.018071e-03  3.208192e-03
2.600  3.159273e-04  5.496768e-04  1.036890e-03  1.983367e-03  3.153021e-03
