# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  6.444775e-04  9.630719e-04  1.571298e-03  2.670500e-03  4.382914e-03
1.200  5.330771e-04  8.079038e-04  1.351166e-03  2.347540e-03  3.902312e-03
1.300  4.661957e-04  7.186936e-04  1.217817e-03  2.144983e-03  3.617989e-03
1.400  4.174397e-04  6.591189e-04  1.136857e-03  2.034106e-03  3.456842e-03
1.600  3.553403e-04  5.741216e-04  1.022102e-03  1.865450e-03  3.108026e-03
1.800  3.211818e-04  5.295065e-04  9.560760e-04  1.771622e-03  2.907270e-03
2.000  3.102768e-04  5.187440e-04  9.456055e-04  1.771066e-03  2.875440e-03
2.200  3.027944e-04  5.136197e-04  9.453094e-04  1.778047e-03  2.874540e-03
2.400  2.962771e-04  5.063114e-04  9.363818e-04  1.761255e-03  2.847392e-03
2.600  2.858093e-04  4.921279e-04  9.145898e-04  1.720266e-03  2.781126e-03
